app_name,suggested_apps
B,Halloween Makeup Me
a,Writing the alphabet
b,Multiplication table. Learn and Play!
A,Learn English - Language & Grammar
B,Learn English Conversation
C,English Quiz [Eigomonogatari]
T,Baby Games for 1+ Toddlers
r,Farm Friends
i,Kids Educational Game Free
C,Little Panda Policeman
u,Airport Adventure 2
e,Multiplication table. Learn and Play!
F,Educational Games for Kids
i,Tailor Kids
r,Princess Computer
A,English Listening and Speaking
n,English Quiz [Eigomonogatari]
i,Learn English Conversation
F,English Listening and Speaking
a,Kids School - Games for Kids
i,"Learn English - 15,000 Words"
L,Learn English Conversation
e,Kids School - Games for Kids
a,"Learn English - 15,000 Words"
L,Baby Panda World
i,Kid-E-Cats Playhouse
t,Baby Panda Care 2
E,Kids School - Games for Kids
n,"Learn English - 15,000 Words"
g,Learn English - Language & Grammar
G,Preschooler World
e,Sensory Baby Toddler Learning
n,Animal Jam
C,Preschooler World
o,Animal Jam
u,Sensory Baby Toddler Learning
S,Star Chart
u,Kids Educational Game Free
p,Dr. Panda Town
M,Princess Computer
y,Bubbu School - My Cute Pets | Animal School Game
 ,Educational Games for Kids
M,Kids Educational Game 5
y,Princess Computer
 ,Tailor Kids
M,Star Chart
y,Dr. Panda Town
 ,"Homework Help App | Scan Question, Get Answer"
B,Baby Panda: Care for animals
a,Doctor Kids 2
b,Baby Games for 1+ Toddlers
M,Doctor Kids 2
y,Star Chart
 ,"Homework Help App | Scan Question, Get Answer"
M,Star Chart
a,Doctor Kids 2
k,Baby Panda: Care for animals
K,Educational Games 4 Kids
i,Mermaids
k,Princess Computer
D,English Listening and Speaking
u,Learn English Conversation
o,"Learn English - 15,000 Words"
B,PBS KIDS Games
a,Animals Farm For Kids
b,Coloring & Learn
T,Baby puzzles
o,Halloween Makeup Me
c,Airport Adventure 2
S,Animal Jam
w,Sensory Baby Toddler Learning
e,Preschooler World
M,Kid-E-Cats. Educational Games
y,Animals Farm For Kids
 ,Kids Educational Game 5
L,Like Nastya
e,Piano Academy - Learn Piano
a,Pinkfong ABC Phonics
B,Star Chart
a,Farm Friends
b,Baby Panda: Care for animals
B,Kids Educational Game 5
a,Educational Games 4 Kids
b,Bubbu School - My Cute Pets | Animal School Game
B,Math Games for kids of all ages
a,Multiplication table. Learn and Play!
b,Baby Panda Care 2
M,Toca Life: City
y,Cooking School: Games for Girls
M,Baby Panda: Care for animals
y,Star Chart
 ,Kids Educational Game Free
P,Baby Games for 1+ Toddlers
o,Baby Panda: Care for animals
w,Star Chart
B,Little Panda Policeman
a,Baby Panda World
b,Writing the alphabet
M,Preschool and Kindergarten Learning Games
a,Multiplication table. Learn and Play!
t,Baby puzzles
B,Writing the alphabet
a,Baby Panda World
b,Kids Educational Game 3 Free
P,Preschooler World
r,Animal Jam
e,Sensory Baby Toddler Learning
L,Cooking School: Games for Girls
i,Toca Life: City
L,Preschool and Kindergarten Learning Games
i,English for Kids - Kids Games
t,Kid-E-Cats Playhouse
L,Cooking School: Games for Girls
i,Toca Life: City
B,Pinkfong Baby Shark
Y,Princess Computer
J,Animals Farm For Kids
M,Baby Games for 1+ Toddlers
y,Doctor Kids 2
 ,Dr. Panda Town
T,Doctor Kids 2
